Territori,Tipus de territori,31 Des. 2015,31 Des. 2023
el Raval,Barri,180,212
el Barri Gòtic,Barri,184,201
la Barceloneta,Barri,69,64
"Sant Pere, Santa Caterina i la Ribera",Barri,171,171
el Fort Pienc,Barri,343,333
la Sagrada Família,Barri,794,750
la Dreta de l'Eixample,Barri,1.747,1.655
l'Antiga Esquerra de l'Eixample,Barri,727,678
la Nova Esquerra de l'Eixample,Barri,428,484
Sant Antoni,Barri,568,567
el Poble-sec,Barri,546,513
la Marina del Prat Vermell,Barri,3,3
la Marina de Port,Barri,6,6
la Font de la Guatlla,Barri,74,131
Hostafrancs,Barri,187,177
la Bordeta,Barri,42,30
Sants - Badal,Barri,90,97
Sants,Barri,189,238
les Corts,Barri,171,211
la Maternitat i Sant Ramon,Barri,36,48
Pedralbes,Barri,8,11
"Vallvidrera, el Tibidabo i les Planes",Barri,3,3
Sarrià,Barri,23,27
les Tres Torres,Barri,31,34
Sant Gervasi - la Bonanova,Barri,26,68
Sant Gervasi - Galvany,Barri,271,291
el Putxet i el Farró,Barri,158,198
Vallcarca i els Penitents,Barri,35,39
el Coll,Barri,13,20
la Salut,Barri,35,37
la Vila de Gràcia,Barri,768,762
el Camp d'en Grassot i Gràcia Nova,Barri,230,223
el Baix Guinardó,Barri,87,81
Can Baró,Barri,13,20
el Guinardó,Barri,54,74
la Font d'en Fargues,Barri,2,4
el Carmel,Barri,26,32
la Teixonera,Barri,9,5
Sant Genís dels Agudells,Barri,3,3
la Vall d'Hebron,Barri,-,1
Horta,Barri,4,6
Vilapicina i la Torre Llobeta,Barri,6,17
Porta,Barri,2,12
el Turó de la Peira,Barri,-,1
la Guineueta,Barri,1,1
Canyelles,Barri,1,1
les Roquetes,Barri,3,2
Verdun,Barri,2,3
la Prosperitat,Barri,4,3
la Trinitat Vella,Barri,5,5
el Bon Pastor,Barri,1,1
Sant Andreu,Districte,27,33
la Sagrera,Barri,21,22
el Congrés i els Indians,Barri,4,6
Navas,Barri,11,22
el Camp de l'Arpa del Clot,Barri,270,292
el Clot,Barri,50,49
el Parc i la Llacuna del Poblenou,Barri,101,100
la Vila Olímpica del Poblenou,Barri,111,105
el Poblenou,Barri,406,422
Diagonal Mar i el Front Marítim del Poblenou,Barri,145,125
el Besòs i el Maresme,Barri,30,32
Provençals del Poblenou,Barri,36,33
Sant Martí de Provençals,Barri,9,14
la Verneda i la Pau,Barri,6,9