Territori,Tipus de territori,2015,2020,2021,2022,2023,2024,2025
el Raval,Barri,"11,1","14,0","12,9","15,2","15,9","15,9","16,6"
el Barri Gòtic,Barri,"11,2","13,6","12,6","15,6","16,4","16,2","16,6"
la Barceloneta,Barri,"16,3","17,3","16,0","18,8","19,0","20,0","22,6"
"Sant Pere, Santa Caterina i la Ribera",Barri,"12,7","14,6","13,6","16,0","17,4","17,1","18,3"
el Fort Pienc,Barri,"10,9","13,9","13,0","14,4","16,1","15,9","15,8"
la Sagrada Família,Barri,"11,1","14,3","13,6","15,3","16,7","16,8","16,8"
la Dreta de l'Eixample,Barri,"11,3","14,2","13,1","15,0","16,6","16,8","17,2"
l'Antiga Esquerra de l'Eixample,Barri,"11,4","14,3","13,7","15,2","16,8","17,0","16,7"
la Nova Esquerra de l'Eixample,Barri,"11,3","14,4","13,4","14,9","16,7","16,7","17,2"
Sant Antoni,Barri,"11,0","13,9","13,0","14,4","15,9","16,1","15,9"
el Poble Sec - AEI Parc Montjuïc,Barri,"11,1","14,3","13,6","15,2","16,0","16,4","16,5"
la Marina del Prat Vermell - AEI Zona Franca,Barri,"6,6",-,"5,9","7,2","13,4","8,7","16,5"
la Marina de Port,Barri,"8,4","11,1","10,7","10,6","12,6","12,0","13,0"
la Font de la Guatlla,Barri,"11,3","13,3","12,8","14,1","15,8","15,6","15,9"
Hostafrancs,Barri,"11,1","14,0","13,1","14,2","15,8","15,6","16,3"
la Bordeta,Barri,"9,8","13,0","12,3","13,4","21,1","18,7","18,6"
Sants - Badal,Barri,"10,7","13,8","13,2","14,4","15,7","16,0","16,0"
Sants,Barri,"11,0","13,9","13,1","14,2","15,8","16,0","16,4"
les Corts,Barri,"11,8","14,9","14,1","15,4","17,1","17,4","17,9"
la Maternitat i Sant Ramon,Barri,"11,4","14,0","13,0","14,8","15,8","16,4","16,2"
Pedralbes,Barri,"14,1","15,5","15,1","15,3","17,5","19,3","17,7"
"Vallvidrera, el Tibidabo i les Planes",Barri,"12,1","12,5","15,3","13,6","14,1","16,3","14,6"
Sarrià,Barri,"14,5","17,0","15,9","18,2","19,5","19,3","20,8"
les Tres Torres,Barri,"14,0","16,5","15,7","17,9","19,4","19,7","19,7"
Sant Gervasi - la Bonanova,Barri,"12,8","15,3","15,1","15,8","17,8","18,1","19,4"
Sant Gervasi - Galvany,Barri,"12,7","15,3","14,5","15,7","18,4","18,8","18,8"
el Putxet i el Farró,Barri,"12,3","15,1","14,3","15,8","17,3","17,1","18,1"
Vallcarca i els Penitents,Barri,"11,6","14,4","13,7","14,7","16,8","17,8","17,3"
el Coll,Barri,"9,9","12,2","12,7","12,9","14,4","14,7","14,8"
la Salut,Barri,"11,3","13,6","12,6","13,5","15,3","16,4","16,3"
la Vila de Gràcia,Barri,"12,3","14,9","14,1","16,0","17,5","17,9","18,4"
el Camp d'en Grassot i Gràcia Nova,Barri,"11,3","14,1","13,7","15,1","16,7","17,5","17,2"
el Baix Guinardó,Barri,"10,6","13,8","12,6","14,0","15,5","15,7","15,8"
Can Baró,Barri,"10,1","12,9","12,5","13,7","15,0","15,7","15,8"
el Guinardó,Barri,"10,4","13,2","12,6","13,4","14,9","15,0","15,1"
la Font d'en Fargues,Barri,"11,4","12,9","12,1","13,5","15,5","15,6","14,6"
el Carmel,Barri,"9,1","12,0","11,8","12,7","13,5","13,6","13,8"
la Teixonera,Barri,"9,5","12,1","12,2","13,2","14,6","14,6","14,9"
Sant Genís dels Agudells,Barri,"8,3","10,6","10,3","10,8","12,0","11,1","12,0"
Montbau,Barri,"10,1","11,9","11,2","11,9","13,8","13,6","15,9"
la Vall d'Hebron,Barri,"10,1","12,2","12,7","13,7","15,0","15,0","15,0"
la Clota,Barri,"8,0","11,4","12,1",-,"15,5","11,5","17,2"
Horta,Barri,"9,5","12,6","11,9","12,4","13,9","14,2","14,1"
Vilapicina i la Torre Llobeta,Barri,"9,3","12,3","11,6","12,8","13,7","13,9","14,4"
Porta,Barri,"9,1","12,1","11,5","12,3","13,5","13,4","13,4"
el Turó de la Peira,Barri,"8,3","11,6","11,3","11,9","12,6","13,1","12,9"
Can Peguera,Barri,"5,8",-,-,-,-,"12,5","8,6"
la Guineueta,Barri,"8,2","10,6","9,7","10,8","12,2","11,9","12,5"
Canyelles,Barri,"7,2","9,7","9,4","9,7","10,8","10,3","9,9"
les Roquetes,Barri,"8,7","11,6","11,3","12,2","13,6","13,5","13,5"
Verdun,Barri,"9,1","12,0","12,3","12,0","14,5","13,1","14,3"
la Prosperitat,Barri,"9,6","12,4","11,8","12,6","13,9","13,9","14,0"
la Trinitat Nova,Barri,"8,8","11,8","11,6","12,8","13,5","14,2","12,2"
Torre Baró,Barri,"6,1","8,8","8,8","10,4","7,7","5,7","7,5"
Ciutat Meridiana,Barri,"6,6","9,2","8,9","9,7","10,4","10,7","10,2"
Vallbona,Barri,"6,7","7,9","6,0","8,0",-,-,-
la Trinitat Vella,Barri,"8,0","10,9","10,3","11,0","12,5","11,1","13,2"
Baró de Viver,Barri,"4,8","7,5","8,0","6,1","9,2","7,8","8,6"
el Bon Pastor,Barri,"8,8","11,9","10,8","11,5","10,9","10,5","11,0"
Sant Andreu,Districte,"10,0","12,5","11,9","12,7","14,0","13,9","14,4"
la Sagrera,Barri,"9,7","12,4","12,0","12,9","14,5","14,4","14,1"
el Congrés i els Indians,Barri,"9,5","12,5","11,7","12,5","14,0","14,6","14,1"
Navas,Barri,"9,7","12,7","11,9","12,6","14,5","14,3","14,4"
el Camp de l'Arpa del Clot,Barri,"10,6","13,6","13,0","14,1","15,8","15,6","15,8"
el Clot,Barri,"10,3","13,3","12,9","13,6","15,4","15,6","15,7"
el Parc i la Llacuna del Poblenou,Barri,"11,5","14,3","14,3","15,9","17,3","16,9","18,1"
la Vila Olímpica del Poblenou,Barri,"14,3","17,7","16,8","19,1","20,4","21,9","21,1"
el Poblenou,Barri,"11,7","14,9","14,3","16,5","17,8","18,1","18,0"
Diagonal Mar i el Front Marítim del Poblenou,Barri,"12,5","16,7","15,7","17,2","18,8","19,6","22,7"
el Besòs i el Maresme,Barri,"8,4","11,9","11,3","12,1","12,5","13,4","12,9"
Provençals del Poblenou,Barri,"10,0","14,0","13,5","14,5","16,3","16,1","16,6"
Sant Martí de Provençals,Barri,"9,4","11,8","11,5","12,1","13,5","14,1","13,5"
la Verneda i la Pau,Barri,"9,1","11,5","11,1","11,4","16,3","14,5","13,8"